p1,p2,label,p1_UniProt,p2_UniProt
ENSP00000211287,ENSP00000381185,1,O15264,P10415
ENSP00000211287,ENSP00000333685,1,O15264,Q15759
ENSP00000211287,ENSP00000215832,1,O15264,P28482
ENSP00000211287,ENSP00000378974,1,O15264,P45983
ENSP00000211287,ENSP00000215659,1,O15264,P53778
ENSP00000211287,ENSP00000329357,1,O15264,P08047
ENSP00000211287,ENSP00000363377,1,O15264,P98177
ENSP00000211287,ENSP00000405330,1,O15264,P03372
ENSP00000211287,ENSP00000418915,1,O15264,P42771
ENSP00000211287,ENSP00000500582,1,O15264,Q9Y243
ENSP00000211287,ENSP00000339527,1,O15264,O43524
ENSP00000211287,ENSP00000375892,1,O15264,P31751
ENSP00000211287,ENSP00000451828,1,O15264,P31749
ENSP00000211287,ENSP00000394560,1,O15264,P45984
ENSP00000211287,ENSP00000263025,1,O15264,P27361
ENSP00000211287,ENSP00000269305,1,O15264,P04637
ENSP00000211287,ENSP00000306245,1,O15264,P01100
ENSP00000211287,ENSP00000360266,1,O15264,P05412
ENSP00000212015,ENSP00000329357,1,Q96EB6,P08047
ENSP00000212015,ENSP00000239938,1,Q96EB6,P18146
ENSP00000212015,ENSP00000254719,1,Q96EB6,P27694
ENSP00000212015,ENSP00000367545,1,Q96EB6,O15350
ENSP00000212015,ENSP00000448165,1,Q96EB6,O14727
ENSP00000212015,ENSP00000365458,1,Q96EB6,P61978
ENSP00000212015,ENSP00000462664,1,Q96EB6,Q9UNA4
ENSP00000212015,ENSP00000500582,1,Q96EB6,Q9Y243
ENSP00000212015,ENSP00000244050,1,Q96EB6,O95863
ENSP00000212015,ENSP00000229795,1,Q96EB6,Q16539
ENSP00000212015,ENSP00000377192,1,Q96EB6,P11413
ENSP00000212015,ENSP00000357113,1,Q96EB6,Q16666
ENSP00000212015,ENSP00000391090,1,Q96EB6,E7EPP6
ENSP00000212015,ENSP00000351273,1,Q96EB6,Q14790
ENSP00000212015,ENSP00000225174,1,Q96EB6,P30405
ENSP00000212015,ENSP00000256078,1,Q96EB6,P01116
ENSP00000212015,ENSP00000260810,1,Q96EB6,Q92547
ENSP00000212015,ENSP00000433623,1,Q96EB6,Q9Y4K3
ENSP00000212015,ENSP00000416293,1,Q96EB6,P11166
ENSP00000212015,ENSP00000376077,1,Q96EB6,P63165
ENSP00000212015,ENSP00000263967,1,Q96EB6,P42336
ENSP00000212015,ENSP00000262506,1,Q96EB6,P19784
ENSP00000212015,ENSP00000324404,1,Q96EB6,Q9BT92
ENSP00000212015,ENSP00000419782,1,Q96EB6,Q00535
ENSP00000212015,ENSP00000343741,1,Q96EB6,Q13535
ENSP00000212015,ENSP00000257904,1,Q96EB6,P11802
ENSP00000212015,ENSP00000275493,1,Q96EB6,P00533
ENSP00000212015,ENSP00000262160,1,Q96EB6,Q15796
ENSP00000212015,ENSP00000321239,1,Q96EB6,Q96PM5
ENSP00000212015,ENSP00000384863,1,Q96EB6,O14980
ENSP00000212015,ENSP00000425979,1,Q96EB6,Q9NRR4
ENSP00000212015,ENSP00000296930,1,Q96EB6,P06748
ENSP00000212015,ENSP00000348056,1,Q96EB6,P63279
ENSP00000212015,ENSP00000264731,1,Q96EB6,Q9H3D4
ENSP00000212015,ENSP00000375892,1,Q96EB6,P31751
ENSP00000212015,ENSP00000404503,1,Q96EB6,Q96PG8
ENSP00000212015,ENSP00000319788,1,Q96EB6,P15559
ENSP00000212015,ENSP00000347184,1,Q96EB6,P42858
ENSP00000212015,ENSP00000365230,1,Q96EB6,Q07817
ENSP00000212015,ENSP00000385571,1,Q96EB6,Q9H2X6
ENSP00000212015,ENSP00000228872,1,Q96EB6,P46527
ENSP00000212015,ENSP00000330237,1,Q96EB6,P55211
ENSP00000212015,ENSP00000371475,1,Q96EB6,Q12888
ENSP00000212015,ENSP00000343535,1,Q96EB6,Q93009
ENSP00000212015,ENSP00000360025,1,Q96EB6,P24522
ENSP00000212015,ENSP00000263025,1,Q96EB6,P27361
ENSP00000212015,ENSP00000356438,1,Q96EB6,P35354
ENSP00000212015,ENSP00000402107,1,Q96EB6,Q9Y468
ENSP00000212015,ENSP00000405965,1,Q96EB6,P61956
ENSP00000212015,ENSP00000365851,1,Q96EB6,P35226
ENSP00000212015,ENSP00000418915,1,Q96EB6,P42771
ENSP00000212015,ENSP00000266970,1,Q96EB6,P24941
ENSP00000212015,ENSP00000354522,1,Q96EB6,P11387
ENSP00000212015,ENSP00000493712,1,Q96EB6,Q06609
ENSP00000212015,ENSP00000378699,1,Q96EB6,P06493
ENSP00000212015,ENSP00000345347,1,Q96EB6,P09429
ENSP00000212015,ENSP00000437125,1,Q96EB6,P11142
ENSP00000212015,ENSP00000343896,1,Q96EB6,P51532
ENSP00000212015,ENSP00000302961,1,Q96EB6,P34932
ENSP00000212015,ENSP00000360609,1,Q96EB6,P08238
ENSP00000212015,ENSP00000258149,1,Q96EB6,Q00987
ENSP00000212015,ENSP00000332973,1,Q96EB6,P84022
ENSP00000212015,ENSP00000306245,1,Q96EB6,P01100
ENSP00000212015,ENSP00000384849,1,Q96EB6,P38936
ENSP00000212015,ENSP00000227507,1,Q96EB6,P24385
ENSP00000212015,ENSP00000311032,1,Q96EB6,P42574
ENSP00000212015,ENSP00000378974,1,Q96EB6,P45983
ENSP00000212015,ENSP00000364801,1,Q96EB6,P0DMV9
ENSP00000212015,ENSP00000405330,1,Q96EB6,P03372
ENSP00000212015,ENSP00000354476,1,Q96EB6,Q12772
ENSP00000212015,ENSP00000381185,1,Q96EB6,P10415
ENSP00000212015,ENSP00000230354,1,Q96EB6,P20226
ENSP00000212015,ENSP00000262367,1,Q96EB6,Q92793
ENSP00000212015,ENSP00000254322,1,Q96EB6,P25685
ENSP00000212015,ENSP00000361021,1,Q96EB6,P60484
ENSP00000212015,ENSP00000324806,1,Q96EB6,P49841
ENSP00000212015,ENSP00000268058,1,Q96EB6,P29590
ENSP00000212015,ENSP00000418960,1,Q96EB6,P38398
ENSP00000212015,ENSP00000387699,1,Q96EB6,P16220
ENSP00000212015,ENSP00000372023,1,Q96EB6,O96017
ENSP00000212015,ENSP00000216714,1,Q96EB6,P27695
ENSP00000212015,ENSP00000378402,1,Q96EB6,Q96ST3
ENSP00000212015,ENSP00000335153,1,Q96EB6,P07900
ENSP00000212015,ENSP00000497916,1,Q96EB6,Q99608
ENSP00000212015,ENSP00000264657,1,Q96EB6,P40763
ENSP00000212015,ENSP00000384371,1,Q96EB6,P41182
ENSP00000212015,ENSP00000263377,1,Q96EB6,O60885
ENSP00000212015,ENSP00000217244,1,Q96EB6,P68400
ENSP00000212015,ENSP00000355759,1,Q96EB6,P09874
ENSP00000212015,ENSP00000298139,1,Q96EB6,Q14191
ENSP00000212015,ENSP00000278616,1,Q96EB6,Q13315
ENSP00000212015,ENSP00000478887,1,Q96EB6,P01106
ENSP00000212015,ENSP00000274031,1,Q96EB6,Q8WTS6
ENSP00000212015,ENSP00000451828,1,Q96EB6,P31749
ENSP00000212015,ENSP00000430432,1,Q96EB6,Q92769
ENSP00000212015,ENSP00000420588,1,Q96EB6,Q00059
ENSP00000212015,ENSP00000324856,1,Q96EB6,Q15831
ENSP00000212015,ENSP00000244537,1,Q96EB6,P62805
ENSP00000212015,ENSP00000383042,1,Q96EB6,O60341
ENSP00000212015,ENSP00000352257,1,Q96EB6,P12956
ENSP00000212015,ENSP00000352252,1,Q96EB6,P68431
ENSP00000212015,ENSP00000352516,1,Q96EB6,P26358
ENSP00000212015,ENSP00000345571,1,Q96EB6,Q01094
ENSP00000212015,ENSP00000437955,1,Q96EB6,Q16665
ENSP00000212015,ENSP00000360266,1,Q96EB6,P05412
ENSP00000212015,ENSP00000363377,1,Q96EB6,P98177
ENSP00000212015,ENSP00000340330,1,Q96EB6,Q92993
ENSP00000212015,ENSP00000262238,1,Q96EB6,P25490
ENSP00000212015,ENSP00000293288,1,Q96EB6,Q07812
ENSP00000212015,ENSP00000263754,1,Q96EB6,Q92831
ENSP00000212015,ENSP00000263253,1,Q96EB6,Q09472
ENSP00000212015,ENSP00000226574,1,Q96EB6,P19838
ENSP00000212015,ENSP00000362649,1,Q96EB6,Q13547
ENSP00000212015,ENSP00000384273,1,Q96EB6,Q04206
ENSP00000212015,ENSP00000287820,1,Q96EB6,P37231
ENSP00000212015,ENSP00000339527,1,Q96EB6,O43524
ENSP00000212015,ENSP00000269305,1,Q96EB6,P04637
ENSP00000215631,ENSP00000478887,1,O75293,P01106
ENSP00000215631,ENSP00000226574,1,O75293,P19838
ENSP00000215631,ENSP00000352516,1,O75293,P26358
ENSP00000215631,ENSP00000229795,1,O75293,Q16539
ENSP00000215631,ENSP00000405330,1,O75293,P03372
ENSP00000215631,ENSP00000418915,1,O75293,P42771
ENSP00000215631,ENSP00000384273,1,O75293,Q04206
ENSP00000215631,ENSP00000264657,1,O75293,P40763
ENSP00000215631,ENSP00000239938,1,O75293,P18146
ENSP00000215631,ENSP00000378974,1,O75293,P45983
ENSP00000215631,ENSP00000306245,1,O75293,P01100
ENSP00000215631,ENSP00000360266,1,O75293,P05412
ENSP00000215631,ENSP00000384849,1,O75293,P38936
ENSP00000215631,ENSP00000344352,1,O75293,P18847
ENSP00000215631,ENSP00000269305,1,O75293,P04637
ENSP00000215631,ENSP00000360025,1,O75293,P24522
ENSP00000215631,ENSP00000378699,1,O75293,P06493
ENSP00000215659,ENSP00000433623,1,P53778,Q9Y4K3
ENSP00000215659,ENSP00000264657,1,P53778,P40763
ENSP00000215659,ENSP00000344352,1,P53778,P18847
ENSP00000215659,ENSP00000381185,1,P53778,P10415
ENSP00000215659,ENSP00000302961,1,P53778,P34932
ENSP00000215659,ENSP00000361021,1,P53778,P60484
ENSP00000215659,ENSP00000226574,1,P53778,P19838
ENSP00000215659,ENSP00000356438,1,P53778,P35354
ENSP00000215659,ENSP00000387699,1,P53778,P16220
ENSP00000215659,ENSP00000239938,1,P53778,P18146
ENSP00000215659,ENSP00000311032,1,P53778,P42574
ENSP00000215659,ENSP00000266970,1,P53778,P24941
ENSP00000215659,ENSP00000229795,1,P53778,Q16539
ENSP00000215659,ENSP00000437955,1,P53778,Q16665
ENSP00000215659,ENSP00000248553,1,P53778,P04792
ENSP00000215659,ENSP00000333685,1,P53778,Q15759
ENSP00000215659,ENSP00000394560,1,P53778,P45984
ENSP00000215659,ENSP00000378974,1,P53778,P45983
ENSP00000215659,ENSP00000263025,1,P53778,P27361
ENSP00000215659,ENSP00000329357,1,P53778,P08047
ENSP00000215659,ENSP00000363377,1,P53778,P98177
ENSP00000215659,ENSP00000405330,1,P53778,P03372
ENSP00000215659,ENSP00000418915,1,P53778,P42771
ENSP00000215659,ENSP00000500582,1,P53778,Q9Y243
ENSP00000215659,ENSP00000215832,1,P53778,P28482
ENSP00000215659,ENSP00000375892,1,P53778,P31751
ENSP00000215659,ENSP00000339527,1,P53778,O43524
ENSP00000215659,ENSP00000451828,1,P53778,P31749
ENSP00000215659,ENSP00000269305,1,P53778,P04637
ENSP00000215659,ENSP00000306245,1,P53778,P01100
ENSP00000215659,ENSP00000360266,1,P53778,P05412
ENSP00000215832,ENSP00000360025,1,P28482,P24522
ENSP00000215832,ENSP00000352252,1,P28482,P68431
ENSP00000215832,ENSP00000497594,1,P28482,Q05086
ENSP00000215832,ENSP00000262662,1,P28482,P42773
ENSP00000215832,ENSP00000368370,1,P28482,P19544
ENSP00000215832,ENSP00000384863,1,P28482,O14980
ENSP00000215832,ENSP00000256996,1,P28482,Q92466
ENSP00000215832,ENSP00000344352,1,P28482,P18847
ENSP00000215832,ENSP00000263377,1,P28482,O60885
ENSP00000215832,ENSP00000272317,1,P28482,P62979
ENSP00000215832,ENSP00000437125,1,P28482,P11142
ENSP00000215832,ENSP00000225174,1,P28482,P30405
ENSP00000215832,ENSP00000216714,1,P28482,P27695
ENSP00000215832,ENSP00000418960,1,P28482,P38398
ENSP00000215832,ENSP00000296930,1,P28482,P06748
ENSP00000215832,ENSP00000362649,1,P28482,Q13547
ENSP00000215832,ENSP00000244050,1,P28482,O95863
ENSP00000215832,ENSP00000291700,1,P28482,P04271
ENSP00000215832,ENSP00000474725,1,P28482,Q969H0
ENSP00000215832,ENSP00000268058,1,P28482,P29590
ENSP00000215832,ENSP00000354476,1,P28482,Q12772
ENSP00000215832,ENSP00000355759,1,P28482,P09874
ENSP00000215832,ENSP00000275493,1,P28482,P00533
ENSP00000215832,ENSP00000379287,1,P28482,P63104
ENSP00000215832,ENSP00000448165,1,P28482,O14727
ENSP00000215832,ENSP00000278616,1,P28482,Q13315
ENSP00000215832,ENSP00000258149,1,P28482,Q00987
ENSP00000215832,ENSP00000433623,1,P28482,Q9Y4K3
ENSP00000215832,ENSP00000217244,1,P28482,P68400
ENSP00000215832,ENSP00000372023,1,P28482,O96017
ENSP00000215832,ENSP00000394560,1,P28482,P45984
ENSP00000215832,ENSP00000365230,1,P28482,Q07817
ENSP00000215832,ENSP00000361021,1,P28482,P60484
ENSP00000215832,ENSP00000227507,1,P28482,P24385
ENSP00000215832,ENSP00000302961,1,P28482,P34932
ENSP00000215832,ENSP00000378699,1,P28482,P06493
ENSP00000215832,ENSP00000384273,1,P28482,Q04206
ENSP00000215832,ENSP00000384849,1,P28482,P38936
ENSP00000215832,ENSP00000287820,1,P28482,P37231
ENSP00000215832,ENSP00000324806,1,P28482,P49841
ENSP00000215832,ENSP00000378974,1,P28482,P45983
ENSP00000215832,ENSP00000356438,1,P28482,P35354
ENSP00000215832,ENSP00000262506,1,P28482,P19784
ENSP00000215832,ENSP00000226574,1,P28482,P19838
ENSP00000215832,ENSP00000345347,1,P28482,P09429
ENSP00000215832,ENSP00000262367,1,P28482,Q92793
ENSP00000215832,ENSP00000360609,1,P28482,P08238
ENSP00000215832,ENSP00000263253,1,P28482,Q09472
ENSP00000215832,ENSP00000263967,1,P28482,P42336
ENSP00000215832,ENSP00000351273,1,P28482,Q14790
ENSP00000215832,ENSP00000330237,1,P28482,P55211
ENSP00000215832,ENSP00000418915,1,P28482,P42771
ENSP00000215832,ENSP00000228872,1,P28482,P46527
ENSP00000215832,ENSP00000333685,1,P28482,Q15759
ENSP00000215832,ENSP00000363377,1,P28482,P98177
ENSP00000215832,ENSP00000500582,1,P28482,Q9Y243
ENSP00000215832,ENSP00000375892,1,P28482,P31751
ENSP00000215832,ENSP00000324804,1,P28482,P30153
ENSP00000215832,ENSP00000335153,1,P28482,P07900
ENSP00000215832,ENSP00000353344,1,P28482,P15036
ENSP00000215832,ENSP00000239938,1,P28482,P18146
ENSP00000215832,ENSP00000311032,1,P28482,P42574
ENSP00000215832,ENSP00000332973,1,P28482,P84022
ENSP00000215832,ENSP00000387699,1,P28482,P16220
ENSP00000215832,ENSP00000339527,1,P28482,O43524
ENSP00000215832,ENSP00000262160,1,P28482,Q15796
ENSP00000215832,ENSP00000329357,1,P28482,P08047
ENSP00000215832,ENSP00000381185,1,P28482,P10415
ENSP00000215832,ENSP00000478887,1,P28482,P01106
ENSP00000215832,ENSP00000437955,1,P28482,Q16665
ENSP00000215832,ENSP00000405330,1,P28482,P03372
ENSP00000215832,ENSP00000451828,1,P28482,P31749
ENSP00000215832,ENSP00000256078,1,P28482,P01116
ENSP00000215832,ENSP00000306245,1,P28482,P01100
ENSP00000215832,ENSP00000376436,1,P28482,P14921
ENSP00000215832,ENSP00000263025,1,P28482,P27361
ENSP00000215832,ENSP00000229795,1,P28482,Q16539
ENSP00000215832,ENSP00000264657,1,P28482,P40763
ENSP00000215832,ENSP00000269305,1,P28482,P04637
ENSP00000215832,ENSP00000360266,1,P28482,P05412
ENSP00000216714,ENSP00000361021,1,P27695,P60484
ENSP00000216714,ENSP00000257904,1,P27695,P11802
ENSP00000216714,ENSP00000343741,1,P27695,Q13535
ENSP00000216714,ENSP00000335153,1,P27695,P07900
ENSP00000216714,ENSP00000383042,1,P27695,O60341
ENSP00000216714,ENSP00000478887,1,P27695,P01106
ENSP00000216714,ENSP00000462664,1,P27695,Q9UNA4
ENSP00000216714,ENSP00000345347,1,P27695,P09429
ENSP00000216714,ENSP00000256996,1,P27695,Q92466
ENSP00000216714,ENSP00000430432,1,P27695,Q92769
ENSP00000216714,ENSP00000360609,1,P27695,P08238
ENSP00000216714,ENSP00000372023,1,P27695,O96017
ENSP00000216714,ENSP00000339527,1,P27695,O43524
ENSP00000216714,ENSP00000260810,1,P27695,Q92547
ENSP00000216714,ENSP00000371475,1,P27695,Q12888
ENSP00000216714,ENSP00000258149,1,P27695,Q00987
ENSP00000216714,ENSP00000391090,1,P27695,E7EPP6
ENSP00000216714,ENSP00000362649,1,P27695,Q13547
ENSP00000216714,ENSP00000364801,1,P27695,P0DMV9
ENSP00000216714,ENSP00000369497,1,P27695,P51587
ENSP00000216714,ENSP00000354522,1,P27695,P11387
ENSP00000216714,ENSP00000418960,1,P27695,P38398
ENSP00000216714,ENSP00000313420,1,P27695,P78527
ENSP00000216714,ENSP00000387699,1,P27695,P16220
ENSP00000216714,ENSP00000381185,1,P27695,P10415
ENSP00000216714,ENSP00000231790,1,P27695,P40692
ENSP00000216714,ENSP00000233146,1,P27695,P43246
ENSP00000216714,ENSP00000405330,1,P27695,P03372
ENSP00000216714,ENSP00000278616,1,P27695,Q13315
ENSP00000216714,ENSP00000360266,1,P27695,P05412
ENSP00000216714,ENSP00000493712,1,P27695,Q06609
ENSP00000216714,ENSP00000352257,1,P27695,P12956
ENSP00000216714,ENSP00000264657,1,P27695,P40763
ENSP00000216714,ENSP00000254719,1,P27695,P27694
ENSP00000216714,ENSP00000437955,1,P27695,Q16665
ENSP00000216714,ENSP00000244537,1,P27695,P62805
ENSP00000216714,ENSP00000296930,1,P27695,P06748
ENSP00000216714,ENSP00000298139,1,P27695,Q14191
ENSP00000216714,ENSP00000360025,1,P27695,P24522
ENSP00000216714,ENSP00000263253,1,P27695,Q09472
ENSP00000216714,ENSP00000269305,1,P27695,P04637
ENSP00000216714,ENSP00000355759,1,P27695,P09874
ENSP00000216911,ENSP00000360266,1,O14965,P05412
ENSP00000216911,ENSP00000344635,1,O14965,P51959
ENSP00000216911,ENSP00000352925,1,O14965,Q9Y4A5
ENSP00000216911,ENSP00000343535,1,O14965,Q93009
ENSP00000216911,ENSP00000344352,1,O14965,P18847
ENSP00000216911,ENSP00000244537,1,O14965,P62805
ENSP00000216911,ENSP00000217244,1,O14965,P68400
ENSP00000216911,ENSP00000360609,1,O14965,P08238
ENSP00000216911,ENSP00000352516,1,O14965,P26358
ENSP00000216911,ENSP00000367545,1,O14965,O15350
ENSP00000216911,ENSP00000311032,1,O14965,P42574
ENSP00000216911,ENSP00000437955,1,O14965,Q16665
ENSP00000216911,ENSP00000354218,1,O14965,Q8WUF5
ENSP00000216911,ENSP00000394560,1,O14965,P45984
ENSP00000216911,ENSP00000378974,1,O14965,P45983
ENSP00000216911,ENSP00000384849,1,O14965,P38936
ENSP00000216911,ENSP00000430432,1,O14965,Q92769
ENSP00000216911,ENSP00000275493,1,O14965,P00533
ENSP00000216911,ENSP00000263967,1,O14965,P42336
ENSP00000216911,ENSP00000380033,1,O14965,A0A5H1ZRQ2
ENSP00000216911,ENSP00000362441,1,O14965,P46100
ENSP00000216911,ENSP00000256078,1,O14965,P01116
ENSP00000216911,ENSP00000278616,1,O14965,Q13315
ENSP00000216911,ENSP00000272317,1,O14965,P62979
ENSP00000216911,ENSP00000365230,1,O14965,Q07817
ENSP00000216911,ENSP00000263377,1,O14965,O60885
ENSP00000216911,ENSP00000306245,1,O14965,P01100
ENSP00000216911,ENSP00000376077,1,O14965,P63165
ENSP00000216911,ENSP00000335153,1,O14965,P07900
ENSP00000216911,ENSP00000369497,1,O14965,P51587
ENSP00000216911,ENSP00000355759,1,O14965,P09874
ENSP00000216911,ENSP00000251810,1,O14965,Q7LG56
ENSP00000216911,ENSP00000345571,1,O14965,Q01094
ENSP00000216911,ENSP00000296930,1,O14965,P06748
ENSP00000216911,ENSP00000264657,1,O14965,P40763
ENSP00000216911,ENSP00000451828,1,O14965,P31749
ENSP00000216911,ENSP00000381185,1,O14965,P10415
ENSP00000216911,ENSP00000227507,1,O14965,P24385
ENSP00000216911,ENSP00000255465,1,O14965,P78396
ENSP00000216911,ENSP00000302961,1,O14965,P34932
ENSP00000216911,ENSP00000258149,1,O14965,Q00987
ENSP00000216911,ENSP00000352252,1,O14965,P68431
ENSP00000216911,ENSP00000263253,1,O14965,Q09472
ENSP00000216911,ENSP00000493712,1,O14965,Q06609
ENSP00000216911,ENSP00000260947,1,O14965,Q99728
ENSP00000216911,ENSP00000257904,1,O14965,P11802
ENSP00000216911,ENSP00000361021,1,O14965,P60484
ENSP00000216911,ENSP00000348056,1,O14965,P63279
ENSP00000216911,ENSP00000418915,1,O14965,P42771
ENSP00000216911,ENSP00000228872,1,O14965,P46527
ENSP00000216911,ENSP00000391090,1,O14965,E7EPP6
ENSP00000216911,ENSP00000405330,1,O14965,P03372
ENSP00000216911,ENSP00000324806,1,O14965,P49841
ENSP00000216911,ENSP00000365458,1,O14965,P61978
ENSP00000216911,ENSP00000226574,1,O14965,P19838
ENSP00000216911,ENSP00000266970,1,O14965,P24941
ENSP00000216911,ENSP00000474725,1,O14965,Q969H0
ENSP00000216911,ENSP00000478887,1,O14965,P01106
ENSP00000216911,ENSP00000418960,1,O14965,P38398
ENSP00000216911,ENSP00000378699,1,O14965,P06493
ENSP00000216911,ENSP00000360025,1,O14965,P24522
ENSP00000216911,ENSP00000300093,1,O14965,P53350
ENSP00000216911,ENSP00000269305,1,O14965,P04637
ENSP00000217244,ENSP00000278616,1,P68400,Q13315
ENSP00000217244,ENSP00000437955,1,P68400,Q16665
ENSP00000217244,ENSP00000352257,1,P68400,P12956
ENSP00000217244,ENSP00000296930,1,P68400,P06748
ENSP00000217244,ENSP00000375892,1,P68400,P31751
ENSP00000217244,ENSP00000306245,1,P68400,P01100
ENSP00000217244,ENSP00000359345,1,P68400,P46777
ENSP00000217244,ENSP00000247970,1,P68400,Q13526
ENSP00000217244,ENSP00000343896,1,P68400,P51532
ENSP00000217244,ENSP00000418960,1,P68400,P38398
ENSP00000217244,ENSP00000263253,1,P68400,Q09472
ENSP00000217244,ENSP00000365458,1,P68400,P61978
ENSP00000217244,ENSP00000256078,1,P68400,P01116
ENSP00000217244,ENSP00000324806,1,P68400,P49841
ENSP00000217244,ENSP00000354522,1,P68400,P11387
ENSP00000217244,ENSP00000313420,1,P68400,P78527
ENSP00000217244,ENSP00000405330,1,P68400,P03372
ENSP00000217244,ENSP00000387699,1,P68400,P16220
ENSP00000217244,ENSP00000324804,1,P68400,P30153
ENSP00000217244,ENSP00000362441,1,P68400,P46100
ENSP00000217244,ENSP00000380033,1,P68400,A0A5H1ZRQ2
ENSP00000217244,ENSP00000266970,1,P68400,P24941
ENSP00000217244,ENSP00000227507,1,P68400,P24385
ENSP00000217244,ENSP00000437125,1,P68400,P11142
ENSP00000217244,ENSP00000302961,1,P68400,P34932
ENSP00000217244,ENSP00000360609,1,P68400,P08238
ENSP00000217244,ENSP00000226574,1,P68400,P19838
ENSP00000217244,ENSP00000406549,1,P68400,P21675
ENSP00000217244,ENSP00000478887,1,P68400,P01106
ENSP00000217244,ENSP00000378699,1,P68400,P06493
ENSP00000217244,ENSP00000384273,1,P68400,Q04206
ENSP00000217244,ENSP00000230354,1,P68400,P20226
ENSP00000217244,ENSP00000262367,1,P68400,Q92793
ENSP00000217244,ENSP00000451828,1,P68400,P31749
ENSP00000217244,ENSP00000263377,1,P68400,O60885
ENSP00000217244,ENSP00000343535,1,P68400,Q93009
ENSP00000217244,ENSP00000229795,1,P68400,Q16539
ENSP00000217244,ENSP00000350512,1,P68400,Q92905
ENSP00000217244,ENSP00000383042,1,P68400,O60341
ENSP00000217244,ENSP00000391090,1,P68400,E7EPP6
ENSP00000217244,ENSP00000266000,1,P68400,Q9UER7
ENSP00000217244,ENSP00000360266,1,P68400,P05412
ENSP00000217244,ENSP00000258149,1,P68400,Q00987
ENSP00000217244,ENSP00000268058,1,P68400,P29590
ENSP00000217244,ENSP00000365851,1,P68400,P35226
ENSP00000217244,ENSP00000335153,1,P68400,P07900
ENSP00000217244,ENSP00000378402,1,P68400,Q96ST3
ENSP00000217244,ENSP00000269305,1,P68400,P04637
ENSP00000217244,ENSP00000362649,1,P68400,Q13547
ENSP00000217244,ENSP00000361021,1,P68400,P60484
ENSP00000217244,ENSP00000430432,1,P68400,Q92769
ENSP00000217244,ENSP00000262506,1,P68400,P19784
